Record Number~Publication Info.~Call No.~Horizon checkouts~Old in-house uses~Checkout Date~Standard No.~Title~CNY
i12503514~Lafayette, La. : Acadian House Pub., c2008.~616.993 M568M~~~  -  -    ~0925417416;9780925417411~The elephant man : a study in human dignity / Ashley Montagu.~
i12504725~New York : Scribner, 2012.~305.896073 B877B~~~  -  -    ~1451626673;9781451626674;145163157X (pbk.);9781451631579 (pbk.)~Manchild in the promised land / Claude Brown ; with a new introduction by Nathan McCall.~
i12504750~New York : Teachers College Press, Teachers College, Columbia University, c1995.~372.21 D519C~~~  -  -    ~0807733725 (acid-free paper);9780807733721 (acid-free paper);0807733717 (pbk. : acid-free paper);9780807733714 (pbk. : acid-free paper)~Experimenting with the world : John Dewey and the early childhood classroom / Harriet K. Cuffaro.~
i12504786~Syracuse, N.Y.] Syracuse University Press [1969]~327.44 S859~~~  -  -    ~7.95~The American Revolution and the French alliance [by] William C. Stinchcombe.~
i12504816~New York : Seven Stories Press, c1998.~362.5097 S918~~~  -  -    ~1888363576~Grand Central winter : stories from the street / Lee Stringer.~
i12505055~Oxford [England] ; Portsmouth, NH, USA : Heinemann Educational Books, c1991.~299.6 M478~~~  -  -    ~0435940023;9780435940027~Introduction to African religion / John S. Mbiti.~
i12506965~Aldershot, Hampshire, Great Britain ; Burlington, VT, USA : Ashgate/Variorum, c2006.~509.3 L793~~~  -  -    ~0860789934 (alk. paper);9780860789932 (alk. paper)~Principles and practices in ancient Greek and Chinese science / G.E.R. Lloyd.~
i12507015~Farnham, England ; Burlington, VT : Ashgate Pub. Ltd., ©2009.~222.11 W595~~~  -  -    ~9780754666257 (hardcover : alk. paper);0754666255 (hardcover : alk. paper)~The curse of Ham in the early modern era : the Bible and the justifications for slavery / David M. Whitford.~
i12507325~New York : Columbia University Press, 1982.~301 M392zL~~~  -  -    ~0231055803;9780231055802;0231055811 (pbk.);9780231055819 (pbk.)~The sociology of Marx / Henri Lefebvre ; translated from the French by Norbert Guterman.~
i12508202~New York, International Universities Press [c1956]~134 S334N~~~  -  -    ~~The nature of hypnosis. Translated by Gerda Corvin.~
i12508871~Farnham, Surrey, England ; Burlington, VT, USA : Ashgate, c2009.~270.2 B588~~~  -  -    ~9780754667254 (hardcover : alk. paper);0754667251 (hardcover : alk. paper)~The power of religion in late antiquity / edited by Andrew Cain and Noel Lenski.~
i12508901~New York, NY : Hearst Books, c2010.~609 B465~~~  -  -    ~9781588168221;1588168220~The wonderful future that never was / Gregory Benford and the editors of Popular mechanics.~
i12509802~Los Angeles, Calif. : Alyson Books, c2004.~306.766 M741~~~  -  -    ~1555838626;9781555838621~Mondohomo : your essential guide to queer pop culture / edited by Richard Andreoli.~
i1251004x~Berkeley : University of California Press, [2013]~303.48097 S535~~~  -  -    ~9780520274051 (alk. paper);0520274059 (alk. paper)~The activist's handbook : winning social change in the 21st century / Randy Shaw.~
i12512680~Boston : D.R. Godine, 1980, c1970.~686.209 C467S~~~  -  -    ~0879233125 : $9.95 (est.)~A short history of the printed word / Warren Chappell.~
i1251309x~New York : Farrar, Straus and Giroux, 1988.~028.5 S474~~~  -  -    ~~Caldecott & Co. : notes on books and pictures / Maurice Sendak.~
i1251360x~New York : Simon & Schuster, 1968, c1961.~306.0899 T942~~~  -  -    ~0671640992 (pbk.);9780671640996 (pbk.)~The forest people / Colin M. Turnbull.~
i12515577~Lanham, MD : University Press of America, c1986.~370.1 B893~~~  -  -    ~0819151319 (pbk. : alk. paper);9780819151315 (pbk. : alk. paper)~Philosophers on education : six essays on the foundations of Western thought / Robert S. Brumbaugh, Nathaniel M. Lawrence.~
i12516454~[New York] : New York City Dept. of City Planning, [1984]~307.1216097 N532~~~  -  -    ~~The Convention Center area : recommendations for land use, zoning and development.~
i12516478~New York, N.Y. : Furman Center for Real Estate and Urban Policy, New York University, 2001-~363.509747 D186~~~  -  -    ~~State of New York City's housing & neighborhoods.~
