Record Number~Publication Info.~Call No.~Horizon checkouts~Old in-house uses~Checkout Date~Standard No.~Title~CNY
i1108571x~New York, N.Y. : Facts On File Publications, c1987.~690.8 P772~1~~  -  -    ~816017808~The house that science built / Michael Pollard.~
i1108585x~Los Angeles : J.P. Tarcher ; New York : Distributed by St. Martin's Press, c1986.~327.172 C581~2~~  -  -    ~0874774063 (pbk.)~Citizen summitry : keeping the peace when it matters too much to be left to politicians / edited by Don Carlson and Craig Comstock.~
i11085903~New York : Wiley, c1988.~621.38043 F216~4~~  -  -    ~047162425X~Signal analysis and estimation : an introduction / Ronald L. Fante.~
i11085927~New York, N.Y. : Facts on File, c1987.~612.68 H144~3~~  -  -    ~816013039~Staying young / Thomas Hager, Lauren Kessler.~
i11085952~Boston : Houghton Mifflin, 1988.~382.1 B715~10~~  -  -    ~395470390~America's trade crisis : the making of the U.S. trade deficit / Don Bonker.~
i11086105~Englewood Cliffs, N.J. : Prentice-Hall, c1986.~690 S658P3~28~~  -  -    ~137019394~Principles and practices of heavy construction / Ronald C. Smith, Cameron K. Andres.~
i11086245~Menlo Park, Calif. : Benjamin/Cummings Pub. Co., c1987.~621.38153 S264~8~~  -  -    ~080537860X~Electronic circuit design : an engineering approach / C.J. Savant, Jr., Martin S. Roden, Gordon L. Carpenter.~
i11086312~New York : Quorum Books, 1987.~658.048 B346~4~~  -  -    ~0899301959 (lib. bdg. : alk. paper)~Trustees, trusteeship, and the public good : issues of accountability for hospitals, museums, universities, and libraries / James C. Baughman ; foreword by William W. Crook.~
i11086348~New York : McGraw-Hill, c1987.~620.86 W116~4~~  -  -    ~007067664X~Engineering design for the control of workplace hazards / Richard A. Wadden, Peter A. Scheff ; with contributions by Robert J. Allen ... [et al.].~
i11086440~Englewood Cliffs, N.J. : Prentice-Hall, c1986.~621.31924 G778~13~1~  -  -    ~132471566~Electrical construction and maintenance techniques / Elliot C. Gray, Jr., Melbourne E. Bailey.~
i11086476~Cambridge [Cambridgeshire] ; New York : Cambridge University Press, 1987.~409 S778~2~~  -  -    ~0521301580;0521317630 (pbk.)~The Social history of language / edited by Peter Burke, Roy Porter.~
i1108652x~Norwood, MA : Artech House, c1984.~621.380283 B628~4~~  -  -    ~890061548~Antennas / L.V. Blake.~
i11086543~New York : McGraw-Hill, c1986.~697 G887~6~~  -  -    ~70250723~Air-handling systems ready reference manual / David L. Grumman.~
i11086579~Englewood Cliffs, N.J. : Prentice-Hall, c1987.~515.0245 P868~7~~  -  -    ~135611849~Mathematical methods / Merle C. Potter, Jack Goldberg.~
i11086580~Englewood Cliffs, N.J. : Prentice-Hall, c1987.~621.38173 H481~12~~  -  -    ~133808335~Handbook of practical I.C. circuits / Harry L. Helms.~
i11086634~New York : Hemisphere Pub. Corp., c1988.~690.22 H236~2~~  -  -    ~0891168230 (Hemisphere Pub. Corp.)~Handbook of radon in buildings : detection, safety, and control / Mueller Associates, Inc., SYSCON Corporation, Brookhaven National Laboratory ; under the direction and authority of the United States Department of Energy, Office of Environmental Analysis.~
i11086683~Englewood Cliffs, N.J. : Prentice-Hall, c1987.~530.141 N218~0~~  -  -    ~132641933~Elements of engineering electromagnetics / Nannapaneni Narayana Rao.~
