Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i12167794,"Chapel Hill [u.a.] : Univ. of North Carolina Press, [19]99.",598.097 C359,,,  -  -    ,0807848166;9780807848166;0807816612;9780807816615,Catesby's birds of colonial America / ed. by Alan Feduccia.,X
i12182539,"London : Monotype Corp., [1972]",686.22 M751,,,  -  -    ,,'Monotype' composition faces.,ONLY PRATT
i12183246,"Lilburn, Ga. : Fairmont Press ; New York : M. Dekker, c2004.",658.26 H249,,,  -  -    ,0881733628 (Fairmount Press);9780881733624 (Fairmount Press);0824709284 (Marcel Dekker);9780824709280 (Marcel Dekker);0881734640 (electronic);9780881734645 (electronic),"Investment grade energy audit : making smart energy choices / Shirley J. Hansen, James W. Brown.",ONLY PRATT
i12184111,"Winterthur, Del. : Henry Francis Du Pont Winterthur Museum ; [Hanover, N.H.] : Distributed by University Press of New England, c2000.",642.7 H521,,,  -  -    ,0912724552 (pbk.);9780912724553 (pbk.),"The Campbell collection of soup tureens at Winterthur / Donald L. Fennimore, Patricia A. Halfpenny with Kate Duffy and Janice Carlson.",X
i12184627,"New York : Russell Sage, c2003.",331.79 L922,,,  -  -    ,0871540258;9780871540256;9780871540266,"Low-wage America : how employers are reshaping opportunity in the workplace / Eileen Appelbaum, Annette Bernhardt, and Richard J. Murnane, editors.",X
i12187008,"Boston : McGraw-Hill, c2004.",500 T5751,,,  -  -    ,0072467002 (hard copy : acid-free paper),"Integrated science / Bill W. Tillery, Eldon D. Enger, Frederick C. Ross.",ONLY PRATT
i12187793,"Boston : McGraw-Hill Higher Education, c2008.",500 T5752,,,  -  -    ,9780073404486 (pbk. : alk. paper);0073404489 (pbk. : alk. paper),"Integrated science / Bill W. Tillery, Eldon D. Enger, Frederick C. Ross.",ONLY PRATT
i12188864,"London : British Library, 1988.",027.541 B255T,,,  -  -    ,0712301550 : £25.00;9780712301558,Treasures of the British Library / compiled by Nicolas Barker and the curatorial staff of the British Library.,X
i12189285,"Washington, D.C. : American Council for an Energy-Efficient Economy, 1995.",696 I34,,,  -  -    ,0918249236 (recycled paper);9780918249234 (recycled paper),Improving energy efficiency in apartment buildings / John DeCicco ... [et al. ; foreword by Stephen Morgan].,ONLY PRATT
i12191103,"Lexington, Mass. : Lexington Books, c1980.",346.045 C7717,,,  -  -    ,0669036420;9780669036428,"Zoning for downtown urban design : how cities control development / Robert S. Cook, Jr.",X
i12192065,"New Delhi : Discovery Pub. House, 2007.",363.7095 E61,,,  -  -    ,9788183562249;8183562248,Environmental issues in India / edited by Bhavana Trivedi & Sangeeta Jain.,ONLY PRATT
